:START_ID,:END_ID,relation,:TYPE
10154,40016,类型,类型
10154,40019,类型,类型
10154,40026,类型,类型
10154,40022,类型,类型
10155,40013,类型,类型
10155,40027,类型,类型
10156,40013,类型,类型
10157,40013,类型,类型
10157,40027,类型,类型
10158,40013,类型,类型
10158,40020,类型,类型
10158,40004,类型,类型
10159,40013,类型,类型
10159,40025,类型,类型
10160,40013,类型,类型
10160,40011,类型,类型
10160,40017,类型,类型
10161,40013,类型,类型
10161,40027,类型,类型
10162,40013,类型,类型
10162,40015,类型,类型
10162,40008,类型,类型
10162,40022,类型,类型
10163,40013,类型,类型
10163,40001,类型,类型
10164,40013,类型,类型
10164,40025,类型,类型
10165,40013,类型,类型
10165,40025,类型,类型
10165,40019,类型,类型
10166,40013,类型,类型
10166,40019,类型,类型
10166,40012,类型,类型
10167,40016,类型,类型
10167,40017,类型,类型
10168,40016,类型,类型
10168,40019,类型,类型
10168,40022,类型,类型
10169,40006,类型,类型
10170,40013,类型,类型
10170,40001,类型,类型
10171,40016,类型,类型
10171,40019,类型,类型
10171,40026,类型,类型
10171,40022,类型,类型
10172,40016,类型,类型
10172,40019,类型,类型
10172,40022,类型,类型
10173,40016,类型,类型
10173,40025,类型,类型
10173,40009,类型,类型
10174,40013,类型,类型
10174,40005,类型,类型
10175,40013,类型,类型
10175,40025,类型,类型
10175,40017,类型,类型
10175,40008,类型,类型
10176,40019,类型,类型
10176,40007,类型,类型
10176,40026,类型,类型
10177,40013,类型,类型
10177,40020,类型,类型
10177,40004,类型,类型
10177,40017,类型,类型
10178,40013,类型,类型
10178,40002,类型,类型
10178,40022,类型,类型
10179,40013,类型,类型
10180,40013,类型,类型
10180,40025,类型,类型
10180,40002,类型,类型
10180,40019,类型,类型
10181,40013,类型,类型
10182,40013,类型,类型
10182,40001,类型,类型
10183,40013,类型,类型
10183,40025,类型,类型
10183,40017,类型,类型
10184,40019,类型,类型
10184,40026,类型,类型
10184,40022,类型,类型
10185,40013,类型,类型
10185,40027,类型,类型
