index:ID,film,:LABEL
10219,东京物语 東京物語,电影
10220,梦之安魂曲 Requiem for a Dream,电影
10221,奇迹男孩 Wonder,电影
10222,城市之光 City Lights,电影
10223,彗星来的那一夜 Coherence,电影
10224,血钻 Blood Diamond,电影
10225,绿里奇迹 The Green Mile,电影
10226,2001太空漫游 2001: A Space Odyssey,电影
10227,聚焦 Spotlight,电影
10228,头号玩家 Ready Player One,电影
10229,E.T. 外星人 E.T.: The Extra-Terrestrial,电影
10230,这个男人来自地球 The Man from Earth,电影
10231,末路狂花 Thelma &amp; Louise,电影
10232,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,电影
10233,发条橙 A Clockwork Orange,电影
10234,黑鹰坠落 Black Hawk Down,电影
10235,变脸 Face/Off,电影
10236,勇闯夺命岛 The Rock,电影
10237,"黄金三镖客 Il buono, il brutto, il cattivo.",电影
10238,我爱你 그대를 사랑합니다,电影
10239,国王的演讲 The King's Speech,电影
10240,釜山行 부산행,电影
10241,秒速5厘米 秒速5センチメートル,电影
10242,遗愿清单 The Bucket List,电影
10243,非常嫌疑犯 The Usual Suspects,电影
10244,千钧一发 Gattaca,电影
10245,新世界 신세계,电影
10246,卡萨布兰卡 Casablanca,电影
10247,驴得水,电影
10248,四个春天,电影
10249,美国丽人 American Beauty,电影
