:START_ID,:END_ID,relation,:TYPE
20051,30365,合作,合作
20051,30103,合作,合作
20051,31443,合作,合作
20051,30142,合作,合作
20051,31039,合作,合作
20051,33079,合作,合作
20051,30242,合作,合作
20051,30237,合作,合作
20051,30904,合作,合作
20051,33080,合作,合作
20051,32627,合作,合作
20051,31322,合作,合作
20051,31919,合作,合作
20051,31335,合作,合作
20051,30660,合作,合作
20051,33224,合作,合作
20051,30676,合作,合作
20010,30933,合作,合作
20010,31898,合作,合作
20010,30753,合作,合作
20010,32550,合作,合作
20010,33049,合作,合作
20010,33338,合作,合作
20010,32219,合作,合作
20010,30189,合作,合作
20010,31588,合作,合作
20010,33330,合作,合作
20010,32952,合作,合作
20010,30763,合作,合作
20010,30961,合作,合作
20010,32344,合作,合作
20010,30026,合作,合作
20010,30326,合作,合作
20016,33359,合作,合作
20016,31618,合作,合作
20016,30881,合作,合作
20016,33388,合作,合作
20016,32436,合作,合作
20016,30329,合作,合作
20016,32636,合作,合作
20016,33023,合作,合作
20113,31838,合作,合作
20113,32718,合作,合作
20113,33533,合作,合作
20113,31830,合作,合作
20113,32814,合作,合作
20113,30413,合作,合作
20113,32623,合作,合作
20113,33026,合作,合作
20113,30776,合作,合作
20113,31801,合作,合作
20113,31313,合作,合作
20190,31838,合作,合作
20190,32718,合作,合作
20190,33533,合作,合作
20190,31830,合作,合作
20190,32814,合作,合作
20190,30413,合作,合作
20190,32623,合作,合作
20190,33026,合作,合作
20190,30776,合作,合作
20190,31801,合作,合作
20190,31313,合作,合作
20168,31781,合作,合作
20168,30310,合作,合作
20168,31351,合作,合作
20168,32787,合作,合作
20168,33211,合作,合作
20168,31981,合作,合作
20168,30197,合作,合作
20168,30179,合作,合作
20168,31025,合作,合作
20168,31197,合作,合作
20168,31071,合作,合作
20168,32209,合作,合作
20168,33374,合作,合作
20168,33360,合作,合作
20168,30294,合作,合作
20168,30811,合作,合作
20168,30092,合作,合作
20168,31542,合作,合作
20168,31135,合作,合作
20168,32328,合作,合作
20168,31895,合作,合作
20168,30196,合作,合作
20168,30859,合作,合作
20168,31655,合作,合作
20168,30309,合作,合作
20168,30855,合作,合作
20168,32466,合作,合作
20168,31134,合作,合作
20168,32374,合作,合作
20168,31259,合作,合作
20168,32390,合作,合作
20168,30779,合作,合作
20168,31938,合作,合作
20179,31781,合作,合作
20179,30310,合作,合作
20179,31351,合作,合作
20179,32787,合作,合作
20179,33211,合作,合作
20179,31981,合作,合作
20179,30197,合作,合作
20179,30179,合作,合作
20179,31025,合作,合作
20179,31197,合作,合作
20179,31071,合作,合作
20179,32209,合作,合作
20179,33374,合作,合作
20179,33360,合作,合作
20179,30294,合作,合作
20179,30811,合作,合作
20179,30092,合作,合作
20179,31542,合作,合作
20179,31135,合作,合作
20179,32328,合作,合作
20179,31895,合作,合作
20179,30196,合作,合作
20179,30859,合作,合作
20179,31655,合作,合作
20179,30309,合作,合作
20179,30855,合作,合作
20179,32466,合作,合作
20179,31134,合作,合作
20179,32374,合作,合作
20179,31259,合作,合作
20179,32390,合作,合作
20179,30779,合作,合作
20179,31938,合作,合作
20025,31781,合作,合作
20025,30310,合作,合作
20025,31351,合作,合作
20025,32787,合作,合作
20025,33211,合作,合作
20025,31981,合作,合作
20025,30197,合作,合作
20025,30179,合作,合作
20025,31025,合作,合作
20025,31197,合作,合作
20025,31071,合作,合作
20025,32209,合作,合作
20025,33374,合作,合作
20025,33360,合作,合作
20025,30294,合作,合作
20025,30811,合作,合作
20025,30092,合作,合作
20025,31542,合作,合作
20025,31135,合作,合作
20025,32328,合作,合作
20025,31895,合作,合作
20025,30196,合作,合作
20025,30859,合作,合作
20025,31655,合作,合作
20025,30309,合作,合作
20025,30855,合作,合作
20025,32466,合作,合作
20025,31134,合作,合作
20025,32374,合作,合作
20025,31259,合作,合作
20025,32390,合作,合作
20025,30779,合作,合作
20025,31938,合作,合作
20088,32118,合作,合作
20088,30236,合作,合作
20088,31120,合作,合作
20088,31152,合作,合作
20088,30477,合作,合作
20088,31508,合作,合作
20088,33437,合作,合作
20088,31479,合作,合作
20088,31390,合作,合作
20088,32880,合作,合作
20088,33180,合作,合作
20088,32913,合作,合作
20088,30650,合作,合作
20088,30149,合作,合作
20088,30303,合作,合作
20120,33228,合作,合作
20120,33113,合作,合作
20120,31681,合作,合作
20120,32665,合作,合作
20120,32982,合作,合作
20120,30077,合作,合作
20120,32634,合作,合作
20120,30798,合作,合作
20120,31547,合作,合作
20120,32928,合作,合作
20120,33015,合作,合作
20120,31241,合作,合作
20120,32655,合作,合作
20120,31505,合作,合作
20120,32654,合作,合作
20120,33198,合作,合作
20120,32311,合作,合作
20120,33415,合作,合作
20120,31386,合作,合作
20120,30713,合作,合作
20120,33464,合作,合作
20120,32563,合作,合作
20120,33310,合作,合作
20120,30495,合作,合作
20120,31725,合作,合作
20120,32959,合作,合作
20120,30542,合作,合作
20120,30332,合作,合作
20120,32235,合作,合作
20120,30281,合作,合作
20120,31131,合作,合作
20120,33335,合作,合作
20103,32467,合作,合作
20103,31564,合作,合作
20103,32120,合作,合作
20103,33303,合作,合作
20103,30510,合作,合作
20134,32467,合作,合作
20134,31564,合作,合作
20134,32120,合作,合作
20134,33303,合作,合作
20134,30510,合作,合作
20021,30375,合作,合作
20021,31086,合作,合作
20021,32174,合作,合作
20021,32823,合作,合作
20021,31018,合作,合作
20021,30447,合作,合作
20021,30540,合作,合作
20021,32369,合作,合作
20021,31139,合作,合作
20021,30615,合作,合作
20021,31431,合作,合作
20021,30941,合作,合作
20021,30140,合作,合作
20021,32458,合作,合作
20021,30602,合作,合作
20021,31874,合作,合作
20021,31013,合作,合作
20021,30416,合作,合作
20021,32911,合作,合作
20021,32929,合作,合作
20021,30702,合作,合作
20021,30112,合作,合作
20021,31220,合作,合作
20021,32175,合作,合作
20021,32617,合作,合作
20021,30839,合作,合作
20021,32910,合作,合作
20021,33058,合作,合作
20021,33358,合作,合作
20021,30391,合作,合作
20021,32188,合作,合作
20021,32819,合作,合作
20021,32623,合作,合作
20034,33493,合作,合作
20034,31648,合作,合作
20034,31370,合作,合作
20034,30950,合作,合作
20034,31345,合作,合作
20034,33103,合作,合作
20034,31032,合作,合作
20034,33332,合作,合作
20034,33467,合作,合作
20034,32558,合作,合作
20034,33053,合作,合作
20034,33184,合作,合作
20034,32046,合作,合作
20034,33135,合作,合作
20034,30562,合作,合作
20034,31579,合作,合作
20034,32481,合作,合作
20034,33393,合作,合作
20034,30638,合作,合作
20034,32648,合作,合作
20034,31477,合作,合作
20034,32516,合作,合作
20034,30912,合作,合作
20034,32079,合作,合作
20034,31671,合作,合作
20034,33233,合作,合作
